grid_size,iterations,time_taken,l2_error
30,76,0.1227820999993127,
50,118,0.2973996000000625,
40,97,0.1065091999998912,
55,130,0.1461976999999024,
33,83,0.0819573999997373,
20,55,0.1873869999999442,
56,132,0.1032774999994217,
100,3102,4.5162392000002,
88,222,0.4237343999993754,
88,222,0.2248342000002594,
95,230,0.447130699999434,
62,145,0.2222959999999147,
65,153,0.1314090000005308,
65,153,0.2870120999996288,
70,172,0.1896193000002313,
87,283,0.3595518000001902,
50,118,0.1162198000001808,
50,121,0.103534200001377,
50,121,0.1245237999992241,
50,131,0.1336900000005698,
30,65,0.3552973000005295,
30,1,0.0157211999994615,
30,1,0.0084174999992683,
50,118,0.2263941999990493,
50,118,0.3823374000000967,
50,118,0.4700298000000202,
50,118,0.1695687999999791,
20,59,0.0930196999997861,
53,126,0.2252488999993147,
50,104,0.3344600000000355,
50,108,0.23198339999999,
50,113,0.2579110999995464,
100,6062,15.841980000000149,
100,170,0.4787988999996742,
250,409,2.5360985999996046,
250,411,2.480897200000072,
125,211,0.6594430999994074,
800,1264,30.406182400000034,
50,85,0.3220465999993394,
100,162,0.5030180000003384,
150,240,1.0199250000005122,
200,319,2.0344403999997667,
250,397,2.835138299999926,
300,471,3.6903313000002527,
350,546,4.553466700000172,
350,546,4.580390699999953,
400,626,5.830615500000022,
450,702,7.622852299999977,
500,775,9.777717800000572,
550,853,5.3013594999993074,
600,924,14.885149300000194,
650,1006,18.13291589999972,
700,1081,21.97887929999979,
750,1150,27.595363800000086,
800,1224,50.439414399999805,
850,1303,39.93476069999997,
900,1385,47.00032900000042,
950,1453,51.76162509999995,
1000,1530,55.84969759999967,
